id,difficulty,gold,query,expected
28,Easy,ANSWER,Giá của Cà chua beef là bao nhiêu?,25.000đ/500g
29,Easy,ANSWER,Bắp mỹ bao nhiêu tiền?,10.000đ/1 trái 300-400g
30,Easy,ANSWER,3 trái bắp mỹ bao nhiêu tiền?,24.000đ
31,Easy,ANSWER,Cho tôi biết mã sản phẩm của Nấm rơm,1233934000138
32,Easy,ANSWER,Củ cải trắng bao nhiêu tiền?,8.700đ/300g
33,Easy,ANSWER,Đậu cove bao nhiêu tiền?,16.000đ/250g
34,Easy,ANSWER,Nấm rơm bao nhiêu tiền?,20.000đ/180-220g
35,Easy,ANSWER,Tiêu xanh bao nhiêu tiền?,9.500đ/50g
36,Easy,ANSWER,Cho tôi biết mã sản phẩm của Bí đỏ hồ lô (1 trái),1233020000397
37,Easy,ANSWER,Bắp cải trắng xuất xứ ở đâu?,Thông tin có trong mô tả sản phẩm (VN/Trung Quốc/Thái Lan...)
38,Easy,ANSWER,Giá của Bắp cải tím là bao nhiêu?,20.000đ/500g
39,Easy,ANSWER,Giá của Cà chua beef là bao nhiêu?,25.000đ/500g
40,Easy,ANSWER,Cho tôi biết mã sản phẩm của Ớt hiểm,1232844000240
41,Medium,ANSWER,Cửa hàng có bán các loại cà chua nào?,"""Cà chua bi, Cà chua beef"""
42,Medium,ANSWER,Tìm dưa leo giá dưới 20.000đ,"""Dưa leo, Dưa leo baby từ 5-7 trái"""
43,Medium,ANSWER,Tìm bí giá dưới 20.000đ,"""Bí đỏ tròn, Bí xanh"""
44,Medium,ANSWER,Tìm cà chua giá dưới 20.000đ,"""Cà chua bi, Cà chua beef"""
45,Medium,ANSWER,Cửa hàng có bán các loại cải nào?,"""Bắp cải trắng, Bắp cải thảo, Bắp cải tím"""
46,Medium,ANSWER,Cửa hàng có bán các loại cải nào?,"""Bắp cải trắng, Bắp cải thảo, Bắp cải tím"""
47,Medium,ANSWER,Tìm bí giá dưới 20.000đ,"""Bí đỏ tròn, Bí xanh"""
48,Medium,ANSWER,Tìm bí giá dưới 20.000đ,"""Bí đỏ tròn, Bí xanh"""
49,Medium,ANSWER,Cửa hàng có bán các loại cải nào?,"""Bắp cải trắng, Bắp cải thảo, Bắp cải tím"""
50,Medium,ANSWER,Cửa hàng có bán các loại bí nào?,"""Bí đỏ tròn, Bí đỏ hồ lô (1 trái), Bí xanh"""
51,Medium,ANSWER,Tìm khoai giá dưới 20.000đ,"""Khoai tây củ từ 130g, Khoai lang Nhật"""
52,Medium,ANSWER,Tìm dưa leo giá dưới 20.000đ,"""Dưa leo, Dưa leo baby từ 5-7 trái"""
53,Medium,ANSWER,Cửa hàng có bán các loại bí nào?,"""Bí đỏ tròn, Bí đỏ hồ lô (1 trái), Bí xanh"""
54,Medium,ANSWER,Cửa hàng có bán các loại dưa leo nào?,"""Dưa leo, Dưa leo baby từ 5-7 trái"""
55,Medium,ANSWER,Tìm dưa leo giá dưới 20.000đ,"""Dưa leo, Dưa leo baby từ 5-7 trái"""
56,Medium,ANSWER,Cửa hàng có bán các loại bí nào?,"""Bí đỏ tròn, Bí đỏ hồ lô (1 trái), Bí xanh"""
57,Medium,ANSWER,Tìm cải giá dưới 20.000đ,"""Bắp cải trắng, Bắp cải thảo"""
58,Medium,ANSWER,Tìm dưa leo giá dưới 20.000đ,"""Dưa leo, Dưa leo baby từ 5-7 trái"""
59,Medium,ANSWER,Tìm khoai giá dưới 20.000đ,"""Khoai tây củ từ 130g, Khoai lang Nhật"""
60,Medium,ANSWER,Cửa hàng có bán các loại cải nào?,"""Bắp cải trắng, Bắp cải thảo, Bắp cải tím"""
61,Medium,ANSWER,Cửa hàng có bán các loại nấm nào?,"""Nấm kim châm nội địa Trung, Nấm hương (nấm đông cô), Nấm đùi gà nội địa Trung"""
62,Medium,ANSWER,Cửa hàng có bán các loại nấm nào?,"""Nấm kim châm nội địa Trung, Nấm hương (nấm đông cô), Nấm đùi gà nội địa Trung"""
63,Medium,ANSWER,Cửa hàng có bán các loại khoai nào?,"""Khoai tây củ từ 130g, Khoai lang Nhật"""
64,Medium,ANSWER,Cửa hàng có bán các loại bí nào?,"""Bí đỏ tròn, Bí đỏ hồ lô (1 trái), Bí xanh"""
65,Medium,ANSWER,Cửa hàng có bán các loại cà chua nào?,"""Cà chua bi, Cà chua beef"""
66,Medium,ANSWER,Cửa hàng có bán các loại nấm nào?,"""Nấm kim châm nội địa Trung, Nấm hương (nấm đông cô), Nấm đùi gà nội địa Trung"""
67,Medium,ANSWER,Tìm cải giá dưới 20.000đ,"""Bắp cải trắng, Bắp cải thảo"""
68,Medium,ANSWER,Tìm khoai giá dưới 20.000đ,"""Khoai tây củ từ 130g, Khoai lang Nhật"""
69,Medium,ANSWER,Cửa hàng có bán các loại cà chua nào?,"""Cà chua bi, Cà chua beef"""
70,Medium,ANSWER,Cửa hàng có bán các loại cà chua nào?,"""Cà chua bi, Cà chua beef"""
71,Medium,ANSWER,Tìm cà chua giá dưới 20.000đ,"""Cà chua bi, Cà chua beef"""
72,Medium,ANSWER,Cửa hàng có bán các loại cải nào?,"""Bắp cải trắng, Bắp cải thảo, Bắp cải tím"""
73,Medium,ANSWER,Tìm ớt giá dưới 20.000đ,"""Ớt chuông xanh-vàng-đỏ giao ngẫu nhiên, Ớt hiểm"""
74,Medium,ANSWER,Cửa hàng có bán các loại bí nào?,"""Bí đỏ tròn, Bí đỏ hồ lô (1 trái), Bí xanh"""
75,Medium,ANSWER,Tìm ớt giá dưới 20.000đ,"""Ớt chuông xanh-vàng-đỏ giao ngẫu nhiên, Ớt hiểm"""
76,Hard,ANSWER,Món gì nấu canh chua ngon?,"""Gợi ý: Cà chua, Thơm, Đậu bắp, Bạc hà, Giá"""
77,Hard,ANSWER,Mua đồ làm salad trộn dầu giấm,"""Gợi ý: Xà lách, Cà chua bi, Dưa leo, Hành tây"""
78,Hard,ANSWER,Rau củ nào tốt cho người ăn kiêng?,"""Gợi ý: Dưa leo, Cà chua, Xà lách, Bí xanh"""
79,Hard,ANSWER,Rau củ nào tốt cho người ăn kiêng?,"""Gợi ý: Dưa leo, Cà chua, Xà lách, Bí xanh"""
80,Hard,ANSWER,Tư vấn nguyên liệu nấu lẩu thái,"""Gợi ý: Nấm kim châm, Cải thảo, Đậu bắp, Cà chua, Sả cây"""
81,Hard,ANSWER,Tư vấn nguyên liệu nấu lẩu thái,"""Gợi ý: Nấm kim châm, Cải thảo, Đậu bắp, Cà chua, Sả cây"""
82,Hard,ANSWER,Mua đồ làm salad trộn dầu giấm,"""Gợi ý: Xà lách, Cà chua bi, Dưa leo, Hành tây"""
83,Hard,ANSWER,Có combo nấm nào tiết kiệm không?,"""Gợi ý: Combo 3 gói nấm kim châm, Combo nấm lẩu"""
84,Hard,ANSWER,Tư vấn nguyên liệu nấu lẩu thái,"""Gợi ý: Nấm kim châm, Cải thảo, Đậu bắp, Cà chua, Sả cây"""
85,Hard,ANSWER,Mua đồ làm salad trộn dầu giấm,"""Gợi ý: Xà lách, Cà chua bi, Dưa leo, Hành tây"""
86,Hard,ANSWER,Món gì nấu canh chua ngon?,"""Gợi ý: Cà chua, Thơm, Đậu bắp, Bạc hà, Giá"""
87,Hard,ANSWER,Tư vấn nguyên liệu nấu lẩu thái,"""Gợi ý: Nấm kim châm, Cải thảo, Đậu bắp, Cà chua, Sả cây"""
88,Hard,ANSWER,Có combo nấm nào tiết kiệm không?,"""Gợi ý: Combo 3 gói nấm kim châm, Combo nấm lẩu"""
89,Hard,ANSWER,Mua đồ làm salad trộn dầu giấm,"""Gợi ý: Xà lách, Cà chua bi, Dưa leo, Hành tây"""
90,Hard,ANSWER,Mua đồ làm salad trộn dầu giấm,"""Gợi ý: Xà lách, Cà chua bi, Dưa leo, Hành tây"""
91,Hard,ANSWER,Mua đồ làm salad trộn dầu giấm,"""Gợi ý: Xà lách, Cà chua bi, Dưa leo, Hành tây"""
92,Hard,ANSWER,Món gì nấu canh chua ngon?,"""Gợi ý: Cà chua, Thơm, Đậu bắp, Bạc hà, Giá"""
93,Hard,ANSWER,Mua đồ làm salad trộn dầu giấm,"""Gợi ý: Xà lách, Cà chua bi, Dưa leo, Hành tây"""
94,Hard,ANSWER,Có combo nấm nào tiết kiệm không?,"""Gợi ý: Combo 3 gói nấm kim châm, Combo nấm lẩu"""
95,Hard,ANSWER,Rau củ nào tốt cho người ăn kiêng?,"""Gợi ý: Dưa leo, Cà chua, Xà lách, Bí xanh"""
96,Hard,ANSWER,Có combo nấm nào tiết kiệm không?,"""Gợi ý: Combo 3 gói nấm kim châm, Combo nấm lẩu"""
97,Hard,ANSWER,Rau củ nào tốt cho người ăn kiêng?,"""Gợi ý: Dưa leo, Cà chua, Xà lách, Bí xanh"""
98,Hard,ANSWER,Mua đồ làm salad trộn dầu giấm,"""Gợi ý: Xà lách, Cà chua bi, Dưa leo, Hành tây"""
99,Hard,ANSWER,Món gì nấu canh chua ngon?,"""Gợi ý: Cà chua, Thơm, Đậu bắp, Bạc hà, Giá"""
100,Hard,ANSWER,Có combo nấm nào tiết kiệm không?,"""Gợi ý: Combo 3 gói nấm kim châm, Combo nấm lẩu"""
